log2FoldChange,lfcSE,pvalue,padj,Domain,Phylum,KEGG_pathway,KEGG_Pathway_Name,Level1,Level2
0.137434872,0.073243771,0.060599888,0.085322497,Bacteria,Firmicutes,ko00500,Starch and sucrose metabolism,Metabolism,Carbohydrate metabolism
0.117552601,0.081828244,0.150838125,0.196225231,Bacteria,Firmicutes,ko02026,Biofilm formation - Escherichia coli,Cellular Processes,Cellular community - prokaryotes
0.112289087,0.085257564,0.187819461,0.238484248,Bacteria,Firmicutes,ko05111,Biofilm formation - Vibrio cholerae,Cellular Processes,Cellular community - prokaryotes
-0.762618932,0.126250715,1.54e-09,1.16e-08,Bacteria,Proteobacteria,ko00261,Monobactam biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
-0.856371697,0.134012178,1.66e-10,1.67e-09,Bacteria,Proteobacteria,ko00920,Sulfur metabolism,Metabolism,Energy metabolism
-2.130023601,0.280983712,3.44e-14,9.12e-13,Bacteria,Proteobacteria,ko00140,Steroid hormone biosynthesis,Metabolism,Lipid metabolism
-0.909422993,0.159536129,1.2e-08,7.34e-08,Bacteria,Proteobacteria,ko00600,Sphingolipid metabolism,Metabolism,Lipid metabolism
0.144680453,0.064702634,0.025346342,0.038479036,Bacteria,Firmicutes,ko00240,Pyrimidine metabolism,Metabolism,Nucleotide metabolism
-0.825029495,0.135740143,1.22e-09,9.63e-09,Bacteria,Proteobacteria,ko00240,Pyrimidine metabolism,Metabolism,Nucleotide metabolism
0.50496726,0.114651461,1.06e-05,2.94e-05,Bacteria,Bacteroidetes,ko00970,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
-0.811899191,0.13018934,4.48e-10,4.12e-09,Bacteria,Proteobacteria,ko00710,Carbon fixation in photosynthetic organisms,Metabolism,Energy metabolism
0.109173535,0.057501297,0.057613491,0.081350336,Bacteria,Firmicutes,ko00220,Arginine biosynthesis,Metabolism,Amino acid metabolism
0.078079799,0.056357471,0.165918484,0.214083234,Bacteria,Firmicutes,ko01210,2-Oxocarboxylic acid metabolism,Metabolism,Global and overview maps
0.014311113,0.094323687,0.879405075,0.902666758,Bacteria,Synergistetes,ko00230,Purine metabolism,Metabolism,Nucleotide metabolism
0.037563964,0.091292058,0.680727766,0.726383552,Bacteria,Synergistetes,ko00240,Pyrimidine metabolism,Metabolism,Nucleotide metabolism
0.121131389,0.067715115,0.073640864,0.102236139,Bacteria,Synergistetes,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
-0.829339683,0.131743369,3.07e-10,2.94e-09,Bacteria,Proteobacteria,ko03018,RNA degradation,Genetic Information Processing,"Folding, sorting and degradation"
-0.008750619,0.093649679,0.925554071,0.940329839,Bacteria,Firmicutes,ko03013,RNA transport,Genetic Information Processing,Translation
-0.313231848,0.123833183,0.011423618,0.018470505,Bacteria,Actinobacteria,ko03440,Homologous recombination,Genetic Information Processing,Replication and repair
0.382519794,0.099961697,0.000129892,0.000291067,Bacteria,Bacteroidetes,ko00260,"Glycine, serine and threonine metabolism",Metabolism,Amino acid metabolism
0.698059839,0.112965376,6.43e-10,5.56e-09,Bacteria,Bacteroidetes,ko00564,Glycerophospholipid metabolism,Metabolism,Lipid metabolism
0.181805888,0.078165711,0.020023708,0.031269309,Bacteria,Firmicutes,ko00564,Glycerophospholipid metabolism,Metabolism,Lipid metabolism
0.139087782,0.056740049,0.014233499,0.02278219,Bacteria,Firmicutes,ko00460,Cyanoamino acid metabolism,Metabolism,Metabolism of other amino acids
-0.97792398,0.158191143,6.33e-10,5.51e-09,Bacteria,Proteobacteria,ko02026,Biofilm formation - Escherichia coli,Cellular Processes,Cellular community - prokaryotes
-0.87646959,0.181960434,1.46e-06,5.15e-06,Bacteria,Proteobacteria,ko02030,Bacterial chemotaxis,Cellular Processes,Cell motility
-0.119556765,0.136786202,0.382095862,0.442119648,Bacteria,Fusobacteria,ko02010,ABC transporters,Environmental Information Processing,Membrane transport
-0.628569974,0.157714571,6.73e-05,0.000158256,Bacteria,Proteobacteria,ko03420,Nucleotide excision repair,Genetic Information Processing,Replication and repair
0.188616907,0.074889805,0.011782491,0.019012113,Bacteria,Firmicutes,ko04217,Necroptosis,Cellular Processes,Cell growth and death
-0.019894301,0.08492212,0.814779069,0.845054433,Bacteria,Firmicutes,ko04910,Insulin signaling pathway,Organismal Systems,Endocrine system
-0.016008016,0.066498479,0.80976628,0.84130434,Bacteria,Firmicutes,ko04922,Glucagon signaling pathway,Organismal Systems,Endocrine system
0.01274291,0.074172918,0.863594737,0.888157224,Bacteria,Firmicutes,ko04931,Insulin resistance,Human Diseases,Endocrine and metabolic disease
0.218422532,0.066564884,0.001033123,0.002006958,Bacteria,Firmicutes,ko03030,DNA replication,Genetic Information Processing,Replication and repair
0.180951082,0.060304654,0.002694345,0.00488235,Bacteria,Firmicutes,ko03410,Base excision repair,Genetic Information Processing,Replication and repair
0.225623042,0.067743929,0.000866815,0.001700496,Bacteria,Firmicutes,ko03440,Homologous recombination,Genetic Information Processing,Replication and repair
-0.823921813,0.154417288,9.52e-08,4.58e-07,Bacteria,Proteobacteria,ko03030,DNA replication,Genetic Information Processing,Replication and repair
-0.027252994,0.141175895,0.846925426,0.872706187,Bacteria,Fusobacteria,ko00970,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
0.034217134,0.04126494,0.40698787,0.468536686,Bacteria,Firmicutes,ko00630,Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism
0.188030564,0.07551964,0.012780659,0.020539423,Bacteria,Firmicutes,ko00910,Nitrogen metabolism,Metabolism,Energy metabolism
0.082303364,0.052070689,0.113967623,0.15340312,Bacteria,Firmicutes,ko00680,Methane metabolism,Metabolism,Energy metabolism
-0.790918101,0.133560126,3.18e-09,2.25e-08,Bacteria,Proteobacteria,ko00770,Pantothenate and CoA biosynthesis,Metabolism,Metabolism of cofactors and vitamins
0.487269455,0.096451547,4.37e-07,1.74e-06,Bacteria,Bacteroidetes,ko00010,Glycolysis / Gluconeogenesis,Metabolism,Carbohydrate metabolism
0.457377518,0.10147008,6.56e-06,1.89e-05,Bacteria,Bacteroidetes,ko00020,Citrate cycle (TCA cycle),Metabolism,Carbohydrate metabolism
0.308434789,0.097941621,0.001637351,0.00307559,Bacteria,Bacteroidetes,ko00280,"Valine, leucine and isoleucine degradation",Metabolism,Amino acid metabolism
0.555244276,0.101571499,4.59e-08,2.38e-07,Bacteria,Bacteroidetes,ko00620,Pyruvate metabolism,Metabolism,Carbohydrate metabolism
0.530405049,0.10610612,5.77e-07,2.22e-06,Bacteria,Bacteroidetes,ko00650,Butanoate metabolism,Metabolism,Carbohydrate metabolism
0.519095908,0.100857016,2.65e-07,1.13e-06,Bacteria,Bacteroidetes,ko00720,Carbon fixation pathways in prokaryotes,Metabolism,Energy metabolism
0.435299194,0.094938838,4.54e-06,1.4e-05,Bacteria,Bacteroidetes,ko01200,Carbon metabolism,Metabolism,Global and overview maps
-1.108171915,0.153611809,5.43e-13,9.6e-12,Bacteria,Proteobacteria,ko00430,Taurine and hypotaurine metabolism,Metabolism,Metabolism of other amino acids
-0.748384975,0.132403163,1.58e-08,9.29e-08,Bacteria,Proteobacteria,ko04213,Longevity regulating pathway - multiple species,Organismal Systems,Aging
0.630356048,0.125816275,5.44e-07,2.11e-06,Bacteria,Bacteroidetes,ko02010,ABC transporters,Environmental Information Processing,Membrane transport
-0.74143861,0.15535803,1.82e-06,6.15e-06,Bacteria,Proteobacteria,ko03430,Mismatch repair,Genetic Information Processing,Replication and repair
0.703850295,0.117530295,2.12e-09,1.57e-08,Bacteria,Bacteroidetes,ko00052,Galactose metabolism,Metabolism,Carbohydrate metabolism
0.498037213,0.104623659,1.93e-06,6.48e-06,Bacteria,Bacteroidetes,ko00520,Amino sugar and nucleotide sugar metabolism,Metabolism,Carbohydrate metabolism
0.425405778,0.094530304,6.79e-06,1.95e-05,Bacteria,Bacteroidetes,ko00250,"Alanine, aspartate and glutamate metabolism",Metabolism,Amino acid metabolism
0.889355439,0.132920249,2.22e-11,2.71e-10,Bacteria,Bacteroidetes,ko05418,Fluid shear stress and atherosclerosis,Human Diseases,Cardiovascular disease
-0.672081381,0.119090909,1.67e-08,9.75e-08,Bacteria,Proteobacteria,ko00460,Cyanoamino acid metabolism,Metabolism,Metabolism of other amino acids
-0.622583917,0.205244429,0.002418325,0.0044174,Bacteria,Proteobacteria,ko00531,Glycosaminoglycan degradation,Metabolism,Glycan biosynthesis and metabolism
-0.916392387,0.151056402,1.31e-09,1.01e-08,Bacteria,Proteobacteria,ko00940,Phenylpropanoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
0.076308955,0.079847337,0.339231066,0.401276302,Bacteria,Firmicutes,ko00473,D-Alanine metabolism,Metabolism,Metabolism of other amino acids
0.224660757,0.076969802,0.003513626,0.006239039,Bacteria,Firmicutes,ko01502,Vancomycin resistance,Human Diseases,Drug resistance: antimicrobial
0.136142613,0.061651386,0.027225788,0.041175122,Bacteria,Firmicutes,ko00670,One carbon pool by folate,Metabolism,Metabolism of cofactors and vitamins
-0.750627662,0.078692559,1.45e-21,3.83e-19,Bacteria,Actinobacteria,ko00020,Citrate cycle (TCA cycle),Metabolism,Carbohydrate metabolism
-0.553267684,0.064840689,1.43e-17,1.03e-15,Bacteria,Actinobacteria,ko00620,Pyruvate metabolism,Metabolism,Carbohydrate metabolism
-0.414928396,0.065122645,1.87e-10,1.87e-09,Bacteria,Actinobacteria,ko00650,Butanoate metabolism,Metabolism,Carbohydrate metabolism
-0.570939632,0.070048111,3.62e-16,1.8e-14,Bacteria,Actinobacteria,ko00720,Carbon fixation pathways in prokaryotes,Metabolism,Energy metabolism
-0.612071879,0.070759993,5.15e-18,4.55e-16,Bacteria,Actinobacteria,ko01200,Carbon metabolism,Metabolism,Global and overview maps
0.518189696,0.101447559,3.26e-07,1.37e-06,Bacteria,Bacteroidetes,ko00710,Carbon fixation in photosynthetic organisms,Metabolism,Energy metabolism
-0.025864504,0.075090767,0.730513007,0.773284228,Bacteria,Actinobacteria,ko00730,Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins
-0.298716885,0.095929044,0.001846097,0.003431238,Bacteria,Actinobacteria,ko00900,Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
0.082512795,0.067290823,0.220119015,0.275972697,Bacteria,Firmicutes,ko00900,Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
-0.991026051,0.1810069,4.37e-08,2.28e-07,Bacteria,Proteobacteria,ko02025,Biofilm formation - Pseudomonas aeruginosa,Cellular Processes,Cellular community - prokaryotes
-0.779854757,0.14111417,3.27e-08,1.75e-07,Bacteria,Proteobacteria,ko01051,Biosynthesis of ansamycins,Metabolism,Metabolism of terpenoids and polyketides
-0.789298279,0.135762369,6.11e-09,4.01e-08,Bacteria,Proteobacteria,ko00900,Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
-0.980616953,0.145106746,1.4e-11,1.74e-10,Bacteria,Proteobacteria,ko00360,Phenylalanine metabolism,Metabolism,Amino acid metabolism
-0.731859926,0.149637128,1e-06,3.71e-06,Bacteria,Proteobacteria,ko05111,Biofilm formation - Vibrio cholerae,Cellular Processes,Cellular community - prokaryotes
0.062414106,0.057635343,0.278846709,0.340218645,Bacteria,Firmicutes,ko00061,Fatty acid biosynthesis,Metabolism,Lipid metabolism
-0.113695065,0.047946445,0.017725977,0.027978204,Bacteria,Firmicutes,ko00071,Fatty acid degradation,Metabolism,Lipid metabolism
-0.050113201,0.052003207,0.335218429,0.397712543,Bacteria,Firmicutes,ko01212,Fatty acid metabolism,Metabolism,Global and overview maps
0.141539234,0.058420552,0.015402912,0.024530564,Bacteria,Firmicutes,ko02024,Quorum sensing,Cellular Processes,Cellular community - prokaryotes
0.181476939,0.066343782,0.006230407,0.010456305,Bacteria,Firmicutes,ko03320,PPAR signaling pathway,Organismal Systems,Endocrine system
0.12928556,0.054307571,0.017283643,0.027307127,Bacteria,Firmicutes,ko04146,Peroxisome,Cellular Processes,Transport and catabolism
0.453662389,0.08848147,2.94e-07,1.24e-06,Bacteria,Firmicutes,ko04216,Ferroptosis,Cellular Processes,Cell growth and death
0.426054805,0.107362001,7.24e-05,0.000169547,Bacteria,Firmicutes,ko04714,Thermogenesis,Organismal Systems,Environmental adaptation
0.291269519,0.10240617,0.004451505,0.007689843,Bacteria,Firmicutes,ko04920,Adipocytokine signaling pathway,Organismal Systems,Endocrine system
0.507615459,0.116319166,1.28e-05,3.48e-05,Bacteria,Bacteroidetes,ko00061,Fatty acid biosynthesis,Metabolism,Lipid metabolism
0.573589264,0.113972067,4.84e-07,1.91e-06,Bacteria,Bacteroidetes,ko00071,Fatty acid degradation,Metabolism,Lipid metabolism
0.52453379,0.115601795,5.69e-06,1.69e-05,Bacteria,Bacteroidetes,ko01212,Fatty acid metabolism,Metabolism,Global and overview maps
0.615266886,0.120779441,3.5e-07,1.45e-06,Bacteria,Bacteroidetes,ko02024,Quorum sensing,Cellular Processes,Cellular community - prokaryotes
0.630975686,0.133970876,2.48e-06,8.1e-06,Bacteria,Bacteroidetes,ko03320,PPAR signaling pathway,Organismal Systems,Endocrine system
0.472880437,0.116485491,4.92e-05,0.000118695,Bacteria,Bacteroidetes,ko04146,Peroxisome,Cellular Processes,Transport and catabolism
0.641884849,0.137489306,3.03e-06,9.75e-06,Bacteria,Bacteroidetes,ko04216,Ferroptosis,Cellular Processes,Cell growth and death
0.671680103,0.137898985,1.11e-06,4.03e-06,Bacteria,Bacteroidetes,ko04714,Thermogenesis,Organismal Systems,Environmental adaptation
0.611337007,0.137763771,9.1e-06,2.55e-05,Bacteria,Bacteroidetes,ko04920,Adipocytokine signaling pathway,Organismal Systems,Endocrine system
-0.786798146,0.133116617,3.41e-09,2.38e-08,Bacteria,Proteobacteria,ko03010,Ribosome,Genetic Information Processing,Translation
-0.686553787,0.174701637,8.5e-05,0.000197252,Bacteria,Proteobacteria,ko04138,Autophagy - yeast,Cellular Processes,Transport and catabolism
0.136748407,0.187028311,0.46467886,0.526569847,Bacteria,Proteobacteria,ko04721,Synaptic vesicle cycle,Organismal Systems,Nervous system
-0.951523315,0.159201167,2.27e-09,1.67e-08,Bacteria,Proteobacteria,ko04727,GABAergic synapse,Organismal Systems,Nervous system
0.136748407,0.187028311,0.46467886,0.526569847,Bacteria,Proteobacteria,ko04962,Vasopressin-regulated water reabsorption,Organismal Systems,Excretory system
-0.789072283,0.141090925,2.24e-08,1.28e-07,Bacteria,Proteobacteria,ko01210,2-Oxocarboxylic acid metabolism,Metabolism,Global and overview maps
-0.85309635,0.134869958,2.53e-10,2.48e-09,Bacteria,Proteobacteria,ko00760,Nicotinate and nicotinamide metabolism,Metabolism,Metabolism of cofactors and vitamins
-0.77551054,0.147351506,1.42e-07,6.52e-07,Bacteria,Proteobacteria,ko00300,Lysine biosynthesis,Metabolism,Amino acid metabolism
0.095557163,0.164403439,0.561081547,0.616197657,Bacteria,Fusobacteria,ko04112,Cell cycle - Caulobacter,Cellular Processes,Cell growth and death
-1.28046438,0.16835956,2.84e-14,7.65e-13,Bacteria,Proteobacteria,ko00410,beta-Alanine metabolism,Metabolism,Metabolism of other amino acids
-0.886913872,0.121573506,2.98e-13,5.93e-12,Bacteria,Proteobacteria,ko00562,Inositol phosphate metabolism,Metabolism,Carbohydrate metabolism
-0.183754062,0.080488521,0.02243127,0.034448022,Bacteria,Actinobacteria,ko00051,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism
-0.480203564,0.07733939,5.33e-10,4.79e-09,Bacteria,Actinobacteria,ko00680,Methane metabolism,Metabolism,Energy metabolism
-0.657929519,0.092255408,9.92e-13,1.63e-11,Bacteria,Actinobacteria,ko04152,AMPK signaling pathway,Environmental Information Processing,Signal transduction
-0.846349615,0.104359198,5.06e-16,2.24e-14,Bacteria,Actinobacteria,ko05230,Central carbon metabolism in cancer,Human Diseases,Cancer: overview
0.074364826,0.062874532,0.236908412,0.295161537,Bacteria,Firmicutes,ko03018,RNA degradation,Genetic Information Processing,"Folding, sorting and degradation"
