Unnamed: 0,Chemical_family,Name,Notes,CF_class,CF_Dparent,CF_NrNodes,CF_subclass,CF_superclass,Compound_Name,Index,Mass (m/z),Retention time,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,componentindex,precursor_mass,id,stat.gut,index.gut,p.value.gut,groups.gut,stat.diet,index.diet,p.value.diet,groups.diet,stat.Order,index.Order,p.value.Order,groups.Order,stat.HostSpecies,index.HostSpecies,p.value.HostSpecies,groups.HostSpecies
13411_433.329_8.407,Triterpenoids,Oat straw 10  (m/z 433.329),,no_matches,no_matches,87.0,no_matches,no_matches,,13411,433.329,8.407,Connected,,,8.407,,0.014953868,27,82,433.3294,13411_433.329_8.407,0.987929213,1,0.00294,s.Foregut,0.734846923,2,0.04768,s.Herbivores,0.984783473,3,0.00319,s.Artiodactyla,0.981875861,220,0.00319,"s.Goat,s.Sheep"
2084_465.319_4.166,Triterpenoids,Pellets 1  (m/z 465.319),,no_matches,no_matches,87.0,no_matches,no_matches,,2084,465.319,4.166,Connected,,,4.1659,,0.029551044,31,82,465.319,2084_465.319_4.166,0.79352287,4,0.18228,"s.Foregut,s.Hindgut",0.721445859,2,0.02086,s.Herbivores,0.873831083,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.853308889,195,0.00319,"s.Donkey,s.Zebra"
2125_465.319_4.344,Triterpenoids,Pellets 2  (m/z 465.319),,no_matches,no_matches,87.0,no_matches,no_matches,,2125,465.319,4.344,Connected,,,4.3438,,0.03117767,38,82,465.3191,2125_465.319_4.344,0.889902151,4,0.00588,"s.Foregut,s.Hindgut",0.822050639,2,0.00298,s.Herbivores,0.982096591,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.815487564,195,0.00319,"s.Donkey,s.Zebra"
349_465.319_4.619,Triterpenoids,Pellets 3  (m/z 465.319),,no_matches,no_matches,87.0,no_matches,no_matches,,349,465.319,4.619,Connected,,,4.6193,,0.042478152,43,82,465.319,349_465.319_4.619,0.897529143,4,0.00294,"s.Foregut,s.Hindgut",0.837827312,2,0.00298,s.Herbivores,0.987334944,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.764416324,195,0.00319,"s.Donkey,s.Zebra"
2611_465.319_4.913,Triterpenoids,Pellets 4  (m/z 465.319),,no_matches,no_matches,87.0,no_matches,no_matches,,2611,465.319,4.913,Connected,,,4.9125,,0.0210706,44,82,465.319,2611_465.319_4.913,0.898796346,4,0.00294,"s.Foregut,s.Hindgut",0.823556844,2,0.00298,s.Herbivores,0.988535097,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.728272097,220,0.00319,"s.Goat,s.Sheep"
701_449.324_5.178,Triterpenoids,Pellets 5  (m/z 449.324),,no_matches,no_matches,87.0,no_matches,no_matches,,701,449.324,5.178,Connected,,,5.1785,,0.018142953,45,82,449.3243,701_449.324_5.178,0.966010715,1,0.00294,s.Foregut,0.779171768,4,0.05662,"s.Carnivores,s.Herbivores",0.954838454,3,0.00319,s.Artiodactyla,0.904672545,220,0.00319,"s.Goat,s.Sheep"
1182_449.324_5.301,Triterpenoids,Pellets 6  (m/z 449.324),,no_matches,no_matches,87.0,no_matches,no_matches,,1182,449.324,5.301,Connected,,,5.3008,,0.009422973,34,82,449.3243,1182_449.324_5.301,0.977191066,1,0.00294,s.Foregut,0.659749626,2,0.80162,s.Herbivores,0.968866206,3,0.00319,s.Artiodactyla,0.911272811,220,0.00319,"s.Goat,s.Sheep"
696_449.324_5.419,Triterpenoids,Pellets 7  (m/z 449.324),,no_matches,no_matches,87.0,no_matches,no_matches,,696,449.324,5.419,Connected,,,5.4189,,0.023487968,45,82,449.3244,696_449.324_5.419,0.959421274,1,0.00294,s.Foregut,0.806619692,2,0.0149,s.Herbivores,0.995002225,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.923692688,220,0.00319,"s.Goat,s.Sheep"
448_463.303_5.746,Triterpenoids,Pellets 8  (m/z 463.303),,no_matches,no_matches,87.0,no_matches,no_matches,,448,463.303,5.746,Connected,,,5.7461,,0.019718255,40,82,463.3034,448_463.303_5.746,0.903602537,4,0.00294,"s.Foregut,s.Hindgut",0.8329348,2,0.00298,s.Herbivores,0.997932158,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.803738718,220,0.00319,"s.Goat,s.Sheep"
832_449.324_5.964,Triterpenoids,Pellets 9  (m/z 449.324),,no_matches,no_matches,87.0,no_matches,no_matches,,832,449.324,5.964,Connected,,,5.9638,,0.028484721,52,82,449.3243,832_449.324_5.964,0.968158241,1,0.00294,s.Foregut,0.844620268,4,0.0149,"s.Carnivores,s.Herbivores",0.99282575,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.920020823,220,0.00319,"s.Goat,s.Sheep"
1009_447.309_6.38,Triterpenoids,Pellets 10  (m/z 447.309),,no_matches,no_matches,87.0,no_matches,no_matches,,1009,447.309,6.38,Connected,,,6.3804,,0.017004729,43,82,447.309,1009_447.309_6.38,0.96400161,1,0.00294,s.Foregut,0.809551561,2,0.01192,s.Herbivores,0.983142714,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.926993817,220,0.00319,"s.Goat,s.Sheep"
8484_447.309_6.53,Triterpenoids,Pellets 11 (m/z 447.309),,no_matches,no_matches,87.0,no_matches,no_matches,,8484,447.309,6.53,Connected,,,6.53,,0.025648793,46,82,447.309,8484_447.309_6.53,0.958330293,1,0.00294,s.Foregut,0.822699921,2,0.00596,s.Herbivores,0.995059156,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.892874682,220,0.00319,"s.Goat,s.Sheep"
485_449.324_6.966,Triterpenoids,Pellets 12 (m/z 449.324),,no_matches,no_matches,87.0,no_matches,no_matches,,485,449.324,6.966,Connected,,,6.9661,,0.022332218,48,82,449.3244,485_449.324_6.966,0.920738006,1,0.00294,s.Foregut,0.793784343,4,0.01192,"s.Carnivores,s.Herbivores",0.982805433,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.841231966,220,0.00319,"s.Goat,s.Sheep"
12702_433.329_7.606,Triterpenoids,Pellets 13  (m/z 433.329),,no_matches,no_matches,87.0,no_matches,no_matches,,12702,433.329,7.606,Connected,,,7.6063,,0.020097726,47,82,433.3294,12702_433.329_7.606,0.960313444,1,0.00294,s.Foregut,0.789053451,2,0.03278,s.Herbivores,0.977891953,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.898056838,220,0.00319,"s.Goat,s.Sheep"
1982_479.298_5.102,Triterpenoids,Unclassified 1 (m/z 479.298),,no_matches,no_matches,87.0,no_matches,no_matches,,1982,479.298,5.102,Connected,,,5.1022,,0.034216873,35,82,479.2981,1982_479.298_5.102,0.891882585,4,0.00294,"s.Foregut,s.Hindgut",0.836660027,2,0.00298,s.Herbivores,0.986013297,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.793405148,222,0.00319,"s.Goat,s.Zebra"
902_477.282_5.479,Triterpenoids,Unclassified 2 (m/z 477.282),,no_matches,no_matches,87.0,no_matches,no_matches,,902,477.282,5.479,Connected,,,5.4792,,0.027120744,36,82,477.2822,902_477.282_5.479,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1.0,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.826196833,195,0.00319,"s.Donkey,s.Zebra"
1055_479.298_5.575,Triterpenoids,Unclassified 3 (m/z 479.298),,no_matches,no_matches,87.0,no_matches,no_matches,,1055,479.298,5.575,Connected,,,5.5746,,0.019110091,34,82,479.2982,1055_479.298_5.575,0.879049073,4,0.00294,"s.Foregut,s.Hindgut",0.824621125,2,0.00298,s.Herbivores,0.971825316,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.793732759,182,0.00319,"s.Donkey,s.Goat"
775_479.298_5.654,Triterpenoids,Unclassified 4 (m/z 479.298),,no_matches,no_matches,87.0,no_matches,no_matches,,775,479.298,5.654,Connected,,,5.6544,,0.018145112,36,82,479.2981,775_479.298_5.654,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1.0,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.787525241,220,0.00319,"s.Goat,s.Sheep"
307_479.298_5.802,Triterpenoids,Unclassified 5 (m/z 479.298),,no_matches,no_matches,87.0,no_matches,no_matches,,307,479.298,5.802,Connected,,,5.8021,,0.0301824,36,82,479.2981,307_479.298_5.802,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1.0,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.816085051,218,0.00319,"s.Goat,s.Rhino"
632_465.319_4.427,Triterpenoids,Wheat straw 1 (m/z 465.319),,no_matches,no_matches,87.0,no_matches,no_matches,,632,465.319,4.427,Connected,,,4.4271,,0.03306836,43,82,465.319,632_465.319_4.427,0.899265739,4,0.00294,"s.Foregut,s.Hindgut",0.820907501,2,0.00298,s.Herbivores,0.990103122,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.838239607,195,0.00319,"s.Donkey,s.Zebra"
716_465.319_4.772,Triterpenoids,Wheat straw 2 (m/z 465.319),,no_matches,no_matches,87.0,no_matches,no_matches,,716,465.319,4.772,Connected,,,4.7722,,0.055072993,44,82,465.319,716_465.319_4.772,0.901139775,4,0.01764,"s.Foregut,s.Hindgut",0.831666346,2,0.00596,s.Herbivores,0.993548543,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.869414557,195,0.00638,"s.Donkey,s.Zebra"
19535_447.309_4.846,Triterpenoids,Wheat straw 3 (m/z 447.309),,no_matches,no_matches,87.0,no_matches,no_matches,,19535,447.309,4.846,Connected,,,4.8462,,0.022832376,40,82,447.3088,19535_447.309_4.846,0.888354894,4,0.00294,"s.Foregut,s.Hindgut",0.806660027,2,0.00298,s.Herbivores,0.978799618,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.724176547,182,0.00319,"s.Donkey,s.Goat"
608_479.298_4.849,Triterpenoids,Wheat straw 4 (m/z 479.298),,no_matches,no_matches,87.0,no_matches,no_matches,,608,479.298,4.849,Connected,,,4.8493,,0.163541658,38,82,479.2981,608_479.298_4.849,0.903482612,4,0.00588,"s.Foregut,s.Hindgut",0.84616403,2,0.00298,s.Herbivores,0.998176749,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.913365518,195,0.00319,"s.Donkey,s.Zebra"
2573_461.287_4.877,Triterpenoids,Wheat straw 5 (m/z 461.287),,no_matches,no_matches,87.0,no_matches,no_matches,,2573,461.287,4.877,Connected,,,4.8774,,0.028456486,36,82,461.2873,2573_461.287_4.877,0.864225133,4,0.02646,"s.Foregut,s.Hindgut",0.807786834,2,0.00298,s.Herbivores,0.953867204,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.854086013,195,0.00319,"s.Donkey,s.Zebra"
316_463.303_5.956,Triterpenoids,Wheat straw 6 (m/z 463.303),,no_matches,no_matches,87.0,no_matches,no_matches,,316,463.303,5.956,Connected,,,5.9563,,0.058014666,47,82,463.3033,316_463.303_5.956,0.925795948,1,0.00294,s.Foregut,0.826331245,2,0.00596,s.Herbivores,0.996950966,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.839671759,220,0.00319,"s.Goat,s.Sheep"
558_463.303_6.035,Triterpenoids,Wheat straw 7 (m/z 463.303),,no_matches,no_matches,87.0,no_matches,no_matches,,558,463.303,6.035,Connected,,,6.0349,,0.034450175,45,82,463.3033,558_463.303_6.035,0.902235157,4,0.00294,"s.Foregut,s.Hindgut",0.823377992,2,0.00298,s.Herbivores,0.99515878,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.725989578,182,0.49126,"s.Donkey,s.Goat"
352_463.303_6.12,Triterpenoids,Wheat straw 8 (m/z 463.303),,no_matches,no_matches,87.0,no_matches,no_matches,,352,463.303,6.12,Connected,,,6.1199,,0.045411979,40,82,463.3033,352_463.303_6.12,0.904185418,4,0.00294,"s.Foregut,s.Hindgut",0.845052565,2,0.00298,s.Herbivores,0.999274517,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.764263852,182,0.00319,"s.Donkey,s.Goat"
415_463.303_6.203,Triterpenoids,Wheat straw 9 (m/z 463.303),,no_matches,no_matches,87.0,no_matches,no_matches,,415,463.303,6.203,Connected,,,6.203,,0.026650624,38,82,463.3033,415_463.303_6.203,0.944228618,1,0.00294,s.Foregut,0.848528137,2,0.00298,s.Herbivores,1.0,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.918415084,220,0.00319,"s.Goat,s.Sheep"
