Unnamed: 0,Chemical_family,Name,Notes,CF_class,CF_Dparent,CF_NrNodes,CF_subclass,CF_superclass,Compound_Name,Index,Mass (m/z),Retention time,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,componentindex,precursor_mass,id,stat.gut,index.gut,p.value.gut,groups.gut,stat.diet,index.diet,p.value.diet,groups.diet,stat.Order,index.Order,p.value.Order,groups.Order,stat.HostSpecies,index.HostSpecies,p.value.HostSpecies,groups.HostSpecies
13019_190.071_1.503,N-acyl AA,Acetyl-Glu 1 (m/z 190.071),,,,,,,,13019,190.071,1.503,Connected,Spectral_Match_to_N-Acetyl-L-glutamic_acid_from_NIST14,0.907098,1.5027,CCMSLIB00003138157,0.0184381,53,6315,190.0705,13019_190.071_1.503,0.955133866,3,0.00294,s.Simplegut,0.882955682,5,0.00298,"s.Carnivores,s.Omnivores",0.955133866,12,0.00319,"s.Carnivora,s.Primates",0.570004897,229,1.0,"s.Gorilla,s.Mandrill"
3674_359.293_7.664,Bile acids,Lithocholic acid 1,,,,,,,,3674,359.293,7.664,Connected,lithocholic_acid,0.935749,7.6641,CCMSLIB00005435551,0.062235839,57,5765,359.2929,3674_359.293_7.664,0.920231857,5,0.00294,"s.Foregut,s.Simplegut",0.922088761,1,0.00298,s.Carnivores,0.922119117,23,0.00319,"s.Carnivora,s.Artiodactyla,s.Primates",0.594959166,118,1.0,"s.Cape_Hunting_dog,s.Hyena"
327_231.158_5.111,Unsat. LCFA,Dodecanedioic acid,Dodecanedioic acid,,,,,,,327,231.158,5.111,Connected,Spectral_Match_to_Dodecanedioic_acid_from_NIST14,0.952515,5.111,CCMSLIB00003138017,0.050646516,80,1566,231.1582,327_231.158_5.111,0.948759304,4,0.00294,"s.Foregut,s.Hindgut",0.893007281,4,0.00596,"s.Carnivores,s.Herbivores",0.920944718,19,0.00319,"s.Proboscidea,s.Artiodactyla,s.Perissodactyla",0.582111027,193,0.00319,"s.Donkey,s.Sheep"
17894_190.07_1.387,N-acyl AA,Acetyl-Glu 2 (190.071),,,,,,,,17894,190.07,1.387,Connected,Spectral_Match_to_N-Acetyl-L-glutamic_acid_from_NIST14,0.974773,1.3867,CCMSLIB00003138157,0.020580799,46,6315,190.0705,17894_190.07_1.387,0.898341552,3,0.00294,s.Simplegut,0.829590814,5,0.00298,"s.Carnivores,s.Omnivores",0.898341552,12,0.00319,"s.Carnivora,s.Primates",0.587619311,229,1.0,"s.Gorilla,s.Mandrill"
3947_399.324_7.694,Bile acids,26-oxocholest-4-en-3-one 1,"3-ketocholest-4-en-26-al based on in silico, high confidence, and manual examination of MS2. ",no_matches,no_matches,5.0,no_matches,no_matches,,3947,399.324,7.694,Connected,,,7.6936,,0.005464386,25,2549,399.3241,3947_399.324_7.694,0.598730715,3,1.0,s.Simplegut,0.929935401,1,0.00298,s.Carnivores,0.720709771,2,0.68266,s.Carnivora,0.815553094,278,1.0,"s.Leopard,s.Tiger"
820_255.21_7.717,Bile acids,BA 1 (m/z 255.21),"In cluster with BA 2. There's also a lithocholic acid neighbor in the cluster, but low cosine match.",Steroids_and_steroid_derivatives,"Monohydroxy_bile_acids,_alcohols_and_derivatives",45.0,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,,820,255.21,7.717,Connected,,,7.7166,,0.013593597,37,113,255.2097,820_255.21_7.717,0.953882234,1,0.00588,s.Foregut,0.818743822,2,0.00894,s.Herbivores,0.970298225,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.92529805,220,0.00319,"s.Goat,s.Sheep"
634_255.21_8.199,Bile acids,BA 2 (m/z 255.21),"In cluster with BA 1. There's also a lithocholic acid neighbor in the cluster, but low cosine match. ",Steroids_and_steroid_derivatives,"Monohydroxy_bile_acids,_alcohols_and_derivatives",45.0,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,,634,255.21,8.199,Connected,,,8.1988,,0.015331658,35,113,255.2097,634_255.21_8.199,0.961199896,1,0.00294,s.Foregut,0.822695379,2,0.00596,s.Herbivores,0.971296667,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.94014688,220,0.00319,"s.Goat,s.Sheep"
13865_453.228_4.883,Bile acids,Cholic acid 7-sulfate 1,Cholic acid 7-sulfate,Steroids_and_steroid_derivatives,"Trihydroxy_bile_acids,_alcohols_and_derivatives",88.0,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,,13865,453.228,4.883,Connected,,,4.8825,,0.007028751,10,137,453.2285,13865_453.228_4.883,0.418853908,3,1.0,s.Simplegut,0.78319776,1,0.00298,s.Carnivores,0.608580619,2,1.0,s.Carnivora,0.947542766,278,1.0,"s.Leopard,s.Tiger"
10412_356.293_5.953,Bile acids,Deoxycholic acid amide 1,"Neighboring node is glycodeoxycholic acid M-2(H2O)+H, delta of 58.005 which is CO2CH2, indicating that this is deoxycholic amide. Two additional peaks are the +H and -1H2O adducts",Steroids_and_steroid_derivatives,Taurinated_bile_acids_and_derivatives,31.0,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,,10412,356.293,5.953,Connected,,,5.9529,,0.008878892,16,762,356.2932,10412_356.293_5.953,0.529812943,3,1.0,s.Simplegut,0.997986311,1,0.00298,s.Carnivores,0.71686445,2,0.25201,s.Carnivora,0.784054869,244,1.0,"s.Hyena,s.Tiger"
12413_376.291_5.832,Bile acids,Isolithocholic acid 1,"Isolithocholic acid is third node in cluster, high confidence in silico NAP ID.",no_matches,no_matches,3.0,no_matches,no_matches,,12413,376.291,5.832,Connected,,,5.8316,,0.006848127,24,51,376.2912,12413_376.291_5.832,0.6172134,5,1.0,"s.Foregut,s.Simplegut",0.988835278,1,0.00298,s.Carnivores,0.747451639,10,0.23287,"s.Carnivora,s.Artiodactyla",0.73174756,263,1.0,"s.Jungle_cat,s.Tiger"
19516_358.281_6.177,Bile acids,Isolithocholic acid 2," [-H2O+H]. Isolithocholic acid is third node in cluster, high confidence in silico ID.",no_matches,no_matches,3.0,no_matches,no_matches,,19516,358.281,6.177,Connected,,,6.1765,,0.003572584,17,51,358.2807,19516_358.281_6.177,0.546118681,3,1.0,s.Simplegut,0.996523384,1,0.00298,s.Carnivores,0.715235408,2,0.2552,s.Carnivora,0.727764196,278,1.0,"s.Leopard,s.Tiger"
