log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
6.144817083,1.649721815,0.000195501,0.000402539,SAMEA104315424__metabat2_low_PE_045_contigs,Bacteria,Verrucomicrobiota,Kiritimatiellae,RFP12,UBA1067,UBA1067
3.675842061,2.264694236,0.10456644,0.137282276,SAMEA104315424__metabat2_low_PE_049_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-433,CAG-433
2.200998166,2.384595189,0.356003532,0.407651713,SAMEA104315425__metabat2_low_PE_013_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,C941
2.041426299,1.223544279,0.095225806,0.125766353,SAMEA104315426__metabat2_low_PE_005_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-492
5.691506859,2.34241737,0.015108916,0.02396462,SAMEA104315427__metabat2_high_PE_030_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9
4.047661086,1.958916907,0.038802518,0.057169043,SAMEA104315427__metabat2_high_PE_043_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-1000,CAG-460
5.806702776,2.577852624,0.024288495,0.037276094,SAMEA104315427__metabat2_low_PE_010_contigs,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,
4.762455454,2.355685239,0.043208819,0.062549011,SAMEA104315427__metabat2_low_PE_014_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA738
5.144950315,2.155047378,0.016968228,0.026658614,SAMEA104315427__metabat2_low_PE_018_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
3.468507524,1.831502805,0.058251017,0.082876447,SAMEA104315427__metabat2_low_PE_019_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4
3.992082327,1.002917148,6.88e-05,0.000147574,SAMEA104315427__metabat2_low_PE_034_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83
7.139301652,1.454882243,9.24e-07,2.3e-06,SAMEA104315427__metabat2_low_PE_043_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA4372
23.00963136,2.368904609,2.65e-22,8.83e-22,SAMEA104315428__metabat2_low_PE_040_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488
24.64679016,2.023726207,4.03e-34,2.26e-33,SAMEA104315429__metabat2_high_PE_002_contigs,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA11452
5.850959027,2.13841312,0.006216799,0.010568558,SAMEA104315429__metabat2_high_PE_029_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
25.12730292,1.757183638,2.2e-46,1.84e-45,SAMEA104315430__metabat2_low_PE_026_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
3.283964913,1.967548175,0.095104587,0.125766353,SAMEA104315430__metabat2_low_PE_045_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-822,UBA5364
4.285659699,2.324071603,0.065178646,0.091748286,SAMEA104315430__metabat2_low_PE_047_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,P3,UBA3388
2.387415685,1.365678553,0.080437458,0.109958835,SAMEA104315430__metabat2_low_PE_049_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-492
25.3658377,2.626151558,4.51e-22,1.48e-21,SAMEA104315431__metabat2_low_PE_025_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter
3.6229687,1.415653652,0.010490742,0.016964298,SAMEA104315432__metabat2_low_PE_014_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-273
3.249579407,2.280886501,0.154243887,0.194048761,SAMEA104315432__metabat2_low_PE_026_contigs,Bacteria,Firmicutes,Bacilli,RF39,UBA5348,CAG-1193
24.80231504,2.194038243,1.25e-29,5.75e-29,SAMEA104315432__metabat2_low_PE_031_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella
1.349379896,2.463503741,0.583864768,0.627394394,SAMEA104315434__metabat2_low_PE_001_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
23.9459357,2.412783341,3.25e-23,1.14e-22,SAMEA104315435__maxbin2_low_prob_001_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082
23.34579791,1.929772439,1.09e-33,6e-33,SAMEA104315435__metabat2_high_PE_028_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
3.374985341,1.628261876,0.038195235,0.056399646,SAMEA104315435__metabat2_low_PE_020_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,
3.073206107,2.033187409,0.130655682,0.167877359,SAMEA104315436__maxbin2_low_prob_006_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-302,
3.992910841,1.853279917,0.031200168,0.046694608,SAMEA104315436__metabat2_high_PE_030_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95
3.972081217,1.970822929,0.043858256,0.063213095,SAMEA104315436__metabat2_high_PE_048_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-1000,CAG-460
8.05929708,1.886841346,1.94e-05,4.37e-05,SAMEA104315436__metabat2_low_PE_049_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-1000,
6.01614741,2.363309632,0.010907604,0.017552771,SAMEA104315437__metabat2_high_PE_027_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella
0.912114961,2.560795345,0.721702589,0.753525695,SAMEA104315437__metabat2_high_PE_043_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella
26.81758314,2.673495361,1.11e-23,4.08e-23,SAMEA104315437__metabat2_low_PE_023_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
25.94597864,2.333597236,1.02e-28,4.54e-28,SAMEA104315439__maxbin2_low_prob_028_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Succinivibrionaceae,Succinivibrio
4.770016537,0.963155771,7.33e-07,1.84e-06,SAMEA104315439__metabat2_high_PE_013_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter
30.0,2.626475459,3.24e-30,1.56e-29,SAMEA104404097__maxbin2_low_prob_009_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-180
25.06696887,1.795473825,2.69e-44,2.12e-43,SAMEA104404097__maxbin2_low_prob_047_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium
4.875633516,2.6035508,0.061111737,0.086206557,SAMEA104404097__maxbin2_low_prob_066_contigs,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium_B
3.265153111,1.278535876,0.010654769,0.017187621,SAMEA104404097__metabat2_low_PE_006_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269
25.45865944,1.609006771,2.17e-56,2.29e-55,SAMEA104404100__maxbin2_high_prob_016_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
