log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
28.56324486,0.869606698,1.29e-236,8.44e-236,SAMEA3663241__metabat2_low_PE_011_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-492
27.92996765,0.943708625,1.68e-192,7.27e-192,SAMEA3663242__metabat2_high_PE_014_contigs,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,RUG472
29.28610481,1.054582366,9.9e-170,3.2e-169,SAMEA3663242__metabat2_high_PE_022_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02
30.0,0.969355056,2.67e-210,1.43e-209,SAMEA3663243__metabat2_low_PE_027_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
28.94678787,1.318551321,8.02e-107,1.26e-106,SAMEA3663246__metabat2_high_PE_017_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177
29.05178339,1.214762793,2.11e-126,4.04e-126,SAMEA3663246__metabat2_low_PE_003_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,
30.0,1.375813104,2.07e-105,3.21e-105,SAMEA3663246__metabat2_low_PE_017_contigs,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,PeH17
27.95167084,1.234908571,1.98e-113,3.25e-113,SAMEA3663246__metabat2_low_PE_023_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9
30.0,1.226102348,3.26e-132,6.84e-132,SAMEA3663248__metabat2_high_PE_009_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA1712
29.23979884,1.149594739,1.04e-142,2.5e-142,SAMEA3663248__metabat2_low_PE_010_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110
30.0,0.748990121,0.0,0.0,SAMEA3663248__metabat2_low_PE_036_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA1777
30.0,1.248781689,1.58e-127,3.1e-127,SAMEA3663250__metabat2_low_PE_006_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA2868
26.84247018,1.597569155,2.36e-63,2.87e-63,SAMEA3663257__metabat2_high_PE_019_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,RF16
30.0,1.163060292,1.03e-146,2.59e-146,SAMEA3663257__metabat2_low_PE_015_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA3663,UBA3663
27.85966768,1.071457401,4.74e-149,1.21e-148,SAMEA3663260__metabat2_high_PE_016_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110
27.93117084,1.214513965,4.9e-117,8.26e-117,SAMEA3663260__metabat2_low_PE_011_contigs,Bacteria,Firmicutes,Bacilli,RF39,UBA5348,CAG-1193
30.0,1.2949109,9.66e-119,1.68e-118,SAMEA3663260__metabat2_low_PE_022_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02
30.0,0.657398489,0.0,0.0,SAMEA3663263__metabat2_high_PE_031_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter
29.7878109,1.229419325,1.1e-129,2.2e-129,SAMEA3663263__metabat2_low_PE_013_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177
26.13104145,1.692336513,8.7e-54,1.01e-53,SAMEA3663267__metabat2_high_PE_008_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-1000,
30.0,0.93854558,3.41e-224,2.04e-223,SAMEA3663267__metabat2_low_PE_011_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,
25.99331648,1.10114002,3.36e-123,6.19e-123,SAMEA3663267__metabat2_low_PE_017_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,
29.82218065,1.294285382,1.79e-117,3.05e-117,SAMEA3663269__metabat2_high_PE_014_contigs,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,PeH17
30.0,0.968489324,1.13e-210,6.19e-210,SAMEA3663269__metabat2_high_PE_027_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83
