Phenotype,Has phenotype?,Domain,Phylum,Biome,No. of MAGs
Coagulase production,False,d__Bacteria,p__Firmicutes_A,Host,424
Coagulase production,False,d__Bacteria,p__Firmicutes_A,Neither,166
Coagulase production,True,d__Bacteria,p__Firmicutes_A,Host,14
Coagulase production,True,d__Bacteria,p__Firmicutes_A,Neither,7
Coagulase production,False,d__Bacteria,p__Firmicutes_B,Host,2
Coagulase production,False,d__Bacteria,p__Firmicutes_B,Neither,2
Coagulase production,False,d__Bacteria,p__Firmicutes_C,Host,16
Coagulase production,False,d__Bacteria,p__Firmicutes_C,Neither,13
Coagulase production,False,d__Bacteria,p__Fusobacteriota,Host,2
Coagulase production,False,d__Bacteria,p__Fusobacteriota,Neither,15
Coagulase production,False,d__Bacteria,p__Myxococcota,Host,2
Coagulase production,False,d__Bacteria,p__Patescibacteria,Neither,1
Coagulase production,True,d__Bacteria,p__Patescibacteria,Host,1
Coagulase production,True,d__Bacteria,p__Patescibacteria,Neither,2
Coagulase production,False,d__Bacteria,p__Planctomycetota,Host,1
Coagulase production,False,d__Bacteria,p__Planctomycetota,Neither,1
Coagulase production,False,d__Bacteria,p__Proteobacteria,Environment,7
Coagulase production,False,d__Bacteria,p__Proteobacteria,Host,24
Coagulase production,False,d__Bacteria,p__Proteobacteria,Neither,40
Coagulase production,True,d__Bacteria,p__Proteobacteria,Environment,1
Coagulase production,False,d__Bacteria,p__Spirochaetota,Host,31
Coagulase production,False,d__Bacteria,p__Spirochaetota,Neither,8
Coagulase production,False,d__Bacteria,p__Synergistota,Neither,4
Coagulase production,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Coagulase production,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Coagulase production,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Coagulase production,True,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Coccus,False,d__Archaea,p__Euryarchaeota,Host,5
Coccus,False,d__Archaea,p__Halobacterota,Host,1
Coccus,False,d__Archaea,p__Halobacterota,Neither,3
Coccus,False,d__Archaea,p__Thermoplasmatota,Host,1
Coccus,False,d__Archaea,p__Thermoplasmatota,Neither,3
Coccus,False,d__Bacteria,p__Actinobacteriota,Environment,6
Coccus,False,d__Bacteria,p__Actinobacteriota,Host,28
Coccus,False,d__Bacteria,p__Actinobacteriota,Neither,43
Coccus,True,d__Bacteria,p__Actinobacteriota,Environment,1
Coccus,True,d__Bacteria,p__Actinobacteriota,Host,11
Coccus,True,d__Bacteria,p__Actinobacteriota,Neither,7
Coccus,False,d__Bacteria,p__Armatimonadota,Neither,1
Coccus,False,d__Bacteria,p__Bacteroidota,Host,217
Coccus,False,d__Bacteria,p__Bacteroidota,Neither,128
Coccus,False,d__Bacteria,p__Campylobacterota,Host,6
Coccus,False,d__Bacteria,p__Campylobacterota,Neither,14
Coccus,False,d__Bacteria,p__Chloroflexota,Neither,1
Coccus,False,d__Bacteria,p__Cyanobacteria,Host,13
Coccus,False,d__Bacteria,p__Cyanobacteria,Neither,2
Coccus,False,d__Bacteria,p__Deferribacterota,Neither,1
Coccus,False,d__Bacteria,p__Desulfobacterota_A,Host,5
Coccus,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
Coccus,False,d__Bacteria,p__Elusimicrobiota,Host,4
Coccus,False,d__Bacteria,p__Elusimicrobiota,Neither,2
Coccus,False,d__Bacteria,p__Eremiobacterota,Neither,1
Coccus,False,d__Bacteria,p__Fibrobacterota,Host,4
Coccus,False,d__Bacteria,p__Firmicutes,Host,87
Coccus,False,d__Bacteria,p__Firmicutes,Neither,75
Coccus,True,d__Bacteria,p__Firmicutes,Host,17
Coccus,True,d__Bacteria,p__Firmicutes,Neither,9
Coccus,False,d__Bacteria,p__Firmicutes_A,Host,429
Coccus,False,d__Bacteria,p__Firmicutes_A,Neither,171
Coccus,True,d__Bacteria,p__Firmicutes_A,Host,9
Coccus,True,d__Bacteria,p__Firmicutes_A,Neither,2
Coccus,False,d__Bacteria,p__Firmicutes_B,Host,1
Coccus,False,d__Bacteria,p__Firmicutes_B,Neither,2
Coccus,True,d__Bacteria,p__Firmicutes_B,Host,1
Coccus,False,d__Bacteria,p__Firmicutes_C,Host,11
Coccus,False,d__Bacteria,p__Firmicutes_C,Neither,8
Coccus,True,d__Bacteria,p__Firmicutes_C,Host,5
Coccus,True,d__Bacteria,p__Firmicutes_C,Neither,5
Coccus,False,d__Bacteria,p__Fusobacteriota,Host,2
Coccus,False,d__Bacteria,p__Fusobacteriota,Neither,15
Coccus,False,d__Bacteria,p__Myxococcota,Host,2
Coccus,False,d__Bacteria,p__Patescibacteria,Host,1
Coccus,False,d__Bacteria,p__Patescibacteria,Neither,3
Coccus,False,d__Bacteria,p__Planctomycetota,Host,1
Coccus,False,d__Bacteria,p__Planctomycetota,Neither,1
Coccus,False,d__Bacteria,p__Proteobacteria,Environment,8
Coccus,False,d__Bacteria,p__Proteobacteria,Host,23
Coccus,False,d__Bacteria,p__Proteobacteria,Neither,40
Coccus,True,d__Bacteria,p__Proteobacteria,Host,1
Coccus,False,d__Bacteria,p__Spirochaetota,Host,31
Coccus,False,d__Bacteria,p__Spirochaetota,Neither,8
Coccus,False,d__Bacteria,p__Synergistota,Neither,4
Coccus,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Coccus,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Coccus,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Coccus,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Coccus - clusters or groups predominate,False,d__Archaea,p__Euryarchaeota,Host,5
Coccus - clusters or groups predominate,False,d__Archaea,p__Halobacterota,Host,1
Coccus - clusters or groups predominate,False,d__Archaea,p__Halobacterota,Neither,3
Coccus - clusters or groups predominate,False,d__Archaea,p__Thermoplasmatota,Host,1
Coccus - clusters or groups predominate,False,d__Archaea,p__Thermoplasmatota,Neither,3
Coccus - clusters or groups predominate,False,d__Bacteria,p__Actinobacteriota,Environment,5
Coccus - clusters or groups predominate,False,d__Bacteria,p__Actinobacteriota,Host,37
Coccus - clusters or groups predominate,False,d__Bacteria,p__Actinobacteriota,Neither,42
Coccus - clusters or groups predominate,True,d__Bacteria,p__Actinobacteriota,Environment,2
Coccus - clusters or groups predominate,True,d__Bacteria,p__Actinobacteriota,Host,2
Coccus - clusters or groups predominate,True,d__Bacteria,p__Actinobacteriota,Neither,8
Coccus - clusters or groups predominate,False,d__Bacteria,p__Armatimonadota,Neither,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Bacteroidota,Host,217
Coccus - clusters or groups predominate,False,d__Bacteria,p__Bacteroidota,Neither,128
Coccus - clusters or groups predominate,False,d__Bacteria,p__Campylobacterota,Host,6
Coccus - clusters or groups predominate,False,d__Bacteria,p__Campylobacterota,Neither,14
Coccus - clusters or groups predominate,False,d__Bacteria,p__Chloroflexota,Neither,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Cyanobacteria,Host,13
Coccus - clusters or groups predominate,False,d__Bacteria,p__Cyanobacteria,Neither,2
Coccus - clusters or groups predominate,False,d__Bacteria,p__Deferribacterota,Neither,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Desulfobacterota_A,Host,5
Coccus - clusters or groups predominate,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
Coccus - clusters or groups predominate,False,d__Bacteria,p__Elusimicrobiota,Host,4
Coccus - clusters or groups predominate,False,d__Bacteria,p__Elusimicrobiota,Neither,2
Coccus - clusters or groups predominate,False,d__Bacteria,p__Eremiobacterota,Neither,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Fibrobacterota,Host,4
Coccus - clusters or groups predominate,False,d__Bacteria,p__Firmicutes,Host,102
Coccus - clusters or groups predominate,False,d__Bacteria,p__Firmicutes,Neither,83
Coccus - clusters or groups predominate,True,d__Bacteria,p__Firmicutes,Host,2
Coccus - clusters or groups predominate,True,d__Bacteria,p__Firmicutes,Neither,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Firmicutes_A,Host,438
Coccus - clusters or groups predominate,False,d__Bacteria,p__Firmicutes_A,Neither,173
Coccus - clusters or groups predominate,False,d__Bacteria,p__Firmicutes_B,Host,2
Coccus - clusters or groups predominate,False,d__Bacteria,p__Firmicutes_B,Neither,2
Coccus - clusters or groups predominate,False,d__Bacteria,p__Firmicutes_C,Host,16
Coccus - clusters or groups predominate,False,d__Bacteria,p__Firmicutes_C,Neither,13
Coccus - clusters or groups predominate,False,d__Bacteria,p__Fusobacteriota,Host,2
Coccus - clusters or groups predominate,False,d__Bacteria,p__Fusobacteriota,Neither,15
Coccus - clusters or groups predominate,False,d__Bacteria,p__Myxococcota,Host,2
Coccus - clusters or groups predominate,False,d__Bacteria,p__Patescibacteria,Host,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Patescibacteria,Neither,3
Coccus - clusters or groups predominate,False,d__Bacteria,p__Planctomycetota,Host,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Planctomycetota,Neither,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Proteobacteria,Environment,8
Coccus - clusters or groups predominate,False,d__Bacteria,p__Proteobacteria,Host,24
Coccus - clusters or groups predominate,False,d__Bacteria,p__Proteobacteria,Neither,40
Coccus - clusters or groups predominate,False,d__Bacteria,p__Spirochaetota,Host,31
Coccus - clusters or groups predominate,False,d__Bacteria,p__Spirochaetota,Neither,8
Coccus - clusters or groups predominate,False,d__Bacteria,p__Synergistota,Neither,4
Coccus - clusters or groups predominate,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Coccus - clusters or groups predominate,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Coccus - clusters or groups predominate,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Coccus - clusters or groups predominate,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Coccus - pairs or chains predominate,False,d__Archaea,p__Euryarchaeota,Host,5
Coccus - pairs or chains predominate,False,d__Archaea,p__Halobacterota,Host,1
Coccus - pairs or chains predominate,False,d__Archaea,p__Halobacterota,Neither,3
Coccus - pairs or chains predominate,False,d__Archaea,p__Thermoplasmatota,Host,1
Coccus - pairs or chains predominate,False,d__Archaea,p__Thermoplasmatota,Neither,3
Coccus - pairs or chains predominate,False,d__Bacteria,p__Actinobacteriota,Environment,7
Coccus - pairs or chains predominate,False,d__Bacteria,p__Actinobacteriota,Host,39
Coccus - pairs or chains predominate,False,d__Bacteria,p__Actinobacteriota,Neither,50
Coccus - pairs or chains predominate,False,d__Bacteria,p__Armatimonadota,Neither,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Bacteroidota,Host,217
Coccus - pairs or chains predominate,False,d__Bacteria,p__Bacteroidota,Neither,128
Coccus - pairs or chains predominate,False,d__Bacteria,p__Campylobacterota,Host,6
Coccus - pairs or chains predominate,False,d__Bacteria,p__Campylobacterota,Neither,14
Coccus - pairs or chains predominate,False,d__Bacteria,p__Chloroflexota,Neither,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Cyanobacteria,Host,13
Coccus - pairs or chains predominate,False,d__Bacteria,p__Cyanobacteria,Neither,2
Coccus - pairs or chains predominate,False,d__Bacteria,p__Deferribacterota,Neither,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Desulfobacterota_A,Host,5
Coccus - pairs or chains predominate,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
Coccus - pairs or chains predominate,False,d__Bacteria,p__Elusimicrobiota,Host,4
Coccus - pairs or chains predominate,False,d__Bacteria,p__Elusimicrobiota,Neither,2
Coccus - pairs or chains predominate,False,d__Bacteria,p__Eremiobacterota,Neither,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Fibrobacterota,Host,4
Coccus - pairs or chains predominate,False,d__Bacteria,p__Firmicutes,Host,86
Coccus - pairs or chains predominate,False,d__Bacteria,p__Firmicutes,Neither,74
Coccus - pairs or chains predominate,True,d__Bacteria,p__Firmicutes,Host,18
Coccus - pairs or chains predominate,True,d__Bacteria,p__Firmicutes,Neither,10
Coccus - pairs or chains predominate,False,d__Bacteria,p__Firmicutes_A,Host,437
Coccus - pairs or chains predominate,False,d__Bacteria,p__Firmicutes_A,Neither,173
Coccus - pairs or chains predominate,True,d__Bacteria,p__Firmicutes_A,Host,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Firmicutes_B,Host,2
Coccus - pairs or chains predominate,False,d__Bacteria,p__Firmicutes_B,Neither,2
Coccus - pairs or chains predominate,False,d__Bacteria,p__Firmicutes_C,Host,14
Coccus - pairs or chains predominate,False,d__Bacteria,p__Firmicutes_C,Neither,7
Coccus - pairs or chains predominate,True,d__Bacteria,p__Firmicutes_C,Host,2
Coccus - pairs or chains predominate,True,d__Bacteria,p__Firmicutes_C,Neither,6
Coccus - pairs or chains predominate,False,d__Bacteria,p__Fusobacteriota,Host,2
Coccus - pairs or chains predominate,False,d__Bacteria,p__Fusobacteriota,Neither,15
Coccus - pairs or chains predominate,False,d__Bacteria,p__Myxococcota,Host,2
Coccus - pairs or chains predominate,False,d__Bacteria,p__Patescibacteria,Host,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Patescibacteria,Neither,3
Coccus - pairs or chains predominate,False,d__Bacteria,p__Planctomycetota,Host,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Planctomycetota,Neither,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Proteobacteria,Environment,8
Coccus - pairs or chains predominate,False,d__Bacteria,p__Proteobacteria,Host,23
Coccus - pairs or chains predominate,False,d__Bacteria,p__Proteobacteria,Neither,40
Coccus - pairs or chains predominate,True,d__Bacteria,p__Proteobacteria,Host,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Spirochaetota,Host,31
Coccus - pairs or chains predominate,False,d__Bacteria,p__Spirochaetota,Neither,8
Coccus - pairs or chains predominate,False,d__Bacteria,p__Synergistota,Neither,4
Coccus - pairs or chains predominate,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Coccus - pairs or chains predominate,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Coccus - pairs or chains predominate,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Coccus - pairs or chains predominate,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Colistin-Polymyxin susceptible,False,d__Archaea,p__Euryarchaeota,Host,5
Colistin-Polymyxin susceptible,False,d__Archaea,p__Halobacterota,Host,1
Colistin-Polymyxin susceptible,False,d__Archaea,p__Halobacterota,Neither,3
Colistin-Polymyxin susceptible,False,d__Archaea,p__Thermoplasmatota,Host,1
Colistin-Polymyxin susceptible,False,d__Archaea,p__Thermoplasmatota,Neither,3
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Actinobacteriota,Environment,7
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Actinobacteriota,Host,39
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Actinobacteriota,Neither,46
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Actinobacteriota,Neither,4
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Armatimonadota,Neither,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Bacteroidota,Host,182
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Bacteroidota,Neither,114
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Bacteroidota,Host,35
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Bacteroidota,Neither,14
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Campylobacterota,Host,2
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Campylobacterota,Neither,5
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Campylobacterota,Host,4
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Campylobacterota,Neither,9
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Chloroflexota,Neither,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Cyanobacteria,Host,5
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Cyanobacteria,Host,8
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Cyanobacteria,Neither,2
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Deferribacterota,Neither,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Desulfobacterota_A,Host,4
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Desulfobacterota_A,Neither,2
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Desulfobacterota_A,Host,1
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Desulfobacterota_A,Neither,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Elusimicrobiota,Host,4
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Elusimicrobiota,Neither,2
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Eremiobacterota,Neither,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Fibrobacterota,Host,1
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Fibrobacterota,Host,3
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Firmicutes,Host,101
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Firmicutes,Neither,81
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Firmicutes,Host,3
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Firmicutes,Neither,3
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Firmicutes_A,Host,421
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Firmicutes_A,Neither,168
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Firmicutes_A,Host,17
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Firmicutes_A,Neither,5
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Firmicutes_B,Host,2
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Firmicutes_B,Neither,2
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Firmicutes_C,Host,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Firmicutes_C,Neither,1
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Firmicutes_C,Host,15
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Firmicutes_C,Neither,12
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Fusobacteriota,Neither,7
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Fusobacteriota,Host,2
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Fusobacteriota,Neither,8
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Myxococcota,Host,2
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Patescibacteria,Host,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Patescibacteria,Neither,3
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Planctomycetota,Neither,1
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Planctomycetota,Host,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Proteobacteria,Environment,3
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Proteobacteria,Host,15
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Proteobacteria,Neither,23
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Proteobacteria,Environment,5
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Proteobacteria,Host,9
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Proteobacteria,Neither,17
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Spirochaetota,Host,26
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Spirochaetota,Neither,8
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Spirochaetota,Host,5
Colistin-Polymyxin susceptible,True,d__Bacteria,p__Synergistota,Neither,4
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Colistin-Polymyxin susceptible,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
D-Mannitol,False,d__Archaea,p__Euryarchaeota,Host,5
D-Mannitol,False,d__Archaea,p__Halobacterota,Host,1
D-Mannitol,False,d__Archaea,p__Halobacterota,Neither,3
D-Mannitol,False,d__Archaea,p__Thermoplasmatota,Host,1
D-Mannitol,False,d__Archaea,p__Thermoplasmatota,Neither,3
D-Mannitol,False,d__Bacteria,p__Actinobacteriota,Environment,5
D-Mannitol,False,d__Bacteria,p__Actinobacteriota,Host,36
D-Mannitol,False,d__Bacteria,p__Actinobacteriota,Neither,47
D-Mannitol,True,d__Bacteria,p__Actinobacteriota,Environment,2
D-Mannitol,True,d__Bacteria,p__Actinobacteriota,Host,3
D-Mannitol,True,d__Bacteria,p__Actinobacteriota,Neither,3
D-Mannitol,False,d__Bacteria,p__Armatimonadota,Neither,1
D-Mannitol,False,d__Bacteria,p__Bacteroidota,Host,217
D-Mannitol,False,d__Bacteria,p__Bacteroidota,Neither,128
D-Mannitol,False,d__Bacteria,p__Campylobacterota,Host,6
D-Mannitol,False,d__Bacteria,p__Campylobacterota,Neither,14
D-Mannitol,False,d__Bacteria,p__Chloroflexota,Neither,1
D-Mannitol,False,d__Bacteria,p__Cyanobacteria,Host,13
D-Mannitol,False,d__Bacteria,p__Cyanobacteria,Neither,2
D-Mannitol,False,d__Bacteria,p__Deferribacterota,Neither,1
D-Mannitol,False,d__Bacteria,p__Desulfobacterota_A,Host,5
D-Mannitol,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
D-Mannitol,False,d__Bacteria,p__Elusimicrobiota,Host,4
D-Mannitol,False,d__Bacteria,p__Elusimicrobiota,Neither,2
D-Mannitol,False,d__Bacteria,p__Eremiobacterota,Neither,1
D-Mannitol,False,d__Bacteria,p__Fibrobacterota,Host,4
D-Mannitol,False,d__Bacteria,p__Firmicutes,Host,99
D-Mannitol,False,d__Bacteria,p__Firmicutes,Neither,82
D-Mannitol,True,d__Bacteria,p__Firmicutes,Host,5
D-Mannitol,True,d__Bacteria,p__Firmicutes,Neither,2
D-Mannitol,False,d__Bacteria,p__Firmicutes_A,Host,409
D-Mannitol,False,d__Bacteria,p__Firmicutes_A,Neither,165
D-Mannitol,True,d__Bacteria,p__Firmicutes_A,Host,29
D-Mannitol,True,d__Bacteria,p__Firmicutes_A,Neither,8
D-Mannitol,False,d__Bacteria,p__Firmicutes_B,Host,2
D-Mannitol,False,d__Bacteria,p__Firmicutes_B,Neither,2
D-Mannitol,False,d__Bacteria,p__Firmicutes_C,Host,8
D-Mannitol,False,d__Bacteria,p__Firmicutes_C,Neither,9
D-Mannitol,True,d__Bacteria,p__Firmicutes_C,Host,8
D-Mannitol,True,d__Bacteria,p__Firmicutes_C,Neither,4
D-Mannitol,False,d__Bacteria,p__Fusobacteriota,Host,2
D-Mannitol,False,d__Bacteria,p__Fusobacteriota,Neither,15
D-Mannitol,False,d__Bacteria,p__Myxococcota,Host,2
D-Mannitol,False,d__Bacteria,p__Patescibacteria,Host,1
D-Mannitol,False,d__Bacteria,p__Patescibacteria,Neither,3
D-Mannitol,False,d__Bacteria,p__Planctomycetota,Host,1
D-Mannitol,False,d__Bacteria,p__Planctomycetota,Neither,1
D-Mannitol,False,d__Bacteria,p__Proteobacteria,Environment,6
D-Mannitol,False,d__Bacteria,p__Proteobacteria,Host,20
D-Mannitol,False,d__Bacteria,p__Proteobacteria,Neither,30
D-Mannitol,True,d__Bacteria,p__Proteobacteria,Environment,2
D-Mannitol,True,d__Bacteria,p__Proteobacteria,Host,4
D-Mannitol,True,d__Bacteria,p__Proteobacteria,Neither,10
D-Mannitol,False,d__Bacteria,p__Spirochaetota,Host,31
D-Mannitol,False,d__Bacteria,p__Spirochaetota,Neither,8
D-Mannitol,False,d__Bacteria,p__Synergistota,Neither,4
D-Mannitol,False,d__Bacteria,p__Verrucomicrobiota,Host,13
D-Mannitol,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
D-Mannitol,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
D-Mannitol,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
D-Mannose,False,d__Archaea,p__Euryarchaeota,Host,5
D-Mannose,False,d__Archaea,p__Halobacterota,Host,1
D-Mannose,False,d__Archaea,p__Halobacterota,Neither,3
D-Mannose,False,d__Archaea,p__Thermoplasmatota,Host,1
D-Mannose,False,d__Archaea,p__Thermoplasmatota,Neither,3
D-Mannose,False,d__Bacteria,p__Actinobacteriota,Environment,5
D-Mannose,False,d__Bacteria,p__Actinobacteriota,Host,30
D-Mannose,False,d__Bacteria,p__Actinobacteriota,Neither,47
D-Mannose,True,d__Bacteria,p__Actinobacteriota,Environment,2
D-Mannose,True,d__Bacteria,p__Actinobacteriota,Host,9
D-Mannose,True,d__Bacteria,p__Actinobacteriota,Neither,3
D-Mannose,False,d__Bacteria,p__Armatimonadota,Neither,1
D-Mannose,False,d__Bacteria,p__Bacteroidota,Host,68
D-Mannose,False,d__Bacteria,p__Bacteroidota,Neither,90
D-Mannose,True,d__Bacteria,p__Bacteroidota,Host,149
D-Mannose,True,d__Bacteria,p__Bacteroidota,Neither,38
D-Mannose,False,d__Bacteria,p__Campylobacterota,Host,6
D-Mannose,False,d__Bacteria,p__Campylobacterota,Neither,13
D-Mannose,True,d__Bacteria,p__Campylobacterota,Neither,1
D-Mannose,False,d__Bacteria,p__Chloroflexota,Neither,1
D-Mannose,False,d__Bacteria,p__Cyanobacteria,Host,13
D-Mannose,False,d__Bacteria,p__Cyanobacteria,Neither,2
D-Mannose,False,d__Bacteria,p__Deferribacterota,Neither,1
D-Mannose,False,d__Bacteria,p__Desulfobacterota_A,Host,5
D-Mannose,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
D-Mannose,False,d__Bacteria,p__Elusimicrobiota,Host,4
D-Mannose,False,d__Bacteria,p__Elusimicrobiota,Neither,2
D-Mannose,False,d__Bacteria,p__Eremiobacterota,Neither,1
D-Mannose,False,d__Bacteria,p__Fibrobacterota,Host,4
D-Mannose,False,d__Bacteria,p__Firmicutes,Host,65
D-Mannose,False,d__Bacteria,p__Firmicutes,Neither,48
D-Mannose,True,d__Bacteria,p__Firmicutes,Host,39
D-Mannose,True,d__Bacteria,p__Firmicutes,Neither,36
D-Mannose,False,d__Bacteria,p__Firmicutes_A,Host,339
D-Mannose,False,d__Bacteria,p__Firmicutes_A,Neither,133
D-Mannose,True,d__Bacteria,p__Firmicutes_A,Host,99
D-Mannose,True,d__Bacteria,p__Firmicutes_A,Neither,40
D-Mannose,False,d__Bacteria,p__Firmicutes_B,Host,2
D-Mannose,False,d__Bacteria,p__Firmicutes_B,Neither,2
D-Mannose,False,d__Bacteria,p__Firmicutes_C,Host,13
D-Mannose,False,d__Bacteria,p__Firmicutes_C,Neither,13
D-Mannose,True,d__Bacteria,p__Firmicutes_C,Host,3
D-Mannose,False,d__Bacteria,p__Fusobacteriota,Host,1
D-Mannose,False,d__Bacteria,p__Fusobacteriota,Neither,12
D-Mannose,True,d__Bacteria,p__Fusobacteriota,Host,1
D-Mannose,True,d__Bacteria,p__Fusobacteriota,Neither,3
D-Mannose,False,d__Bacteria,p__Myxococcota,Host,2
D-Mannose,False,d__Bacteria,p__Patescibacteria,Host,1
D-Mannose,False,d__Bacteria,p__Patescibacteria,Neither,3
D-Mannose,False,d__Bacteria,p__Planctomycetota,Neither,1
D-Mannose,True,d__Bacteria,p__Planctomycetota,Host,1
D-Mannose,False,d__Bacteria,p__Proteobacteria,Environment,5
D-Mannose,False,d__Bacteria,p__Proteobacteria,Host,17
D-Mannose,False,d__Bacteria,p__Proteobacteria,Neither,31
D-Mannose,True,d__Bacteria,p__Proteobacteria,Environment,3
D-Mannose,True,d__Bacteria,p__Proteobacteria,Host,7
D-Mannose,True,d__Bacteria,p__Proteobacteria,Neither,9
