Sample,class,order,family,genus,species,host_common_name,diet,captive_wild,country,sample_type
X339_White_beaked_Dolphin,Mammalia,Cetacea,Delphinidae,Lagenorhynchus,Lagenorhynchus_albirostris,White_beaked_Dolphin,carnivore,wild,England,feces
X327_Silver_Bream,Actinopterygii,Cypriniformes,Cyprinidae,Blicca,Blicca_bjoerkna,Silver_Bream,omnivore,wild,Austria,feces
X194_Agile_Frog,Amphibia,Anura,Ranidae,Rana,Rana_dalmatina,Agile_Frog,carnivore,wild,Austria,feces
X280_Western_Grey_Kangaroo,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus_fuliginosus,Western_Grey_Kangaroo,herbivore,wild,Australia,feces
X182_fail_Common_Nase,Actinopterygii,Cypriniformes,Cyprinidae,Chondrostoma,Chondrostoma_nasus,Common_Nase,omnivore,wild,Austria,gut
X192_Common_Frog,Amphibia,Anura,Ranidae,Rana,Rana_temporaria,Common_Frog,carnivore,wild,Austria,feces
X409_Impala,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros_melampus,Impala,herbivore,wild,South Africa,feces
X335_Harbor_Seal,Mammalia,Carnivora,Phocidae,Phoca,Phoca_vitulina,Harbor_Seal,carnivore,wild,England,feces
X417_Giraffe,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa_camelopardalis,Giraffe,herbivore,wild,East Africa,feces
X62_fail1_Common_Rudd,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,Scardinius_erythrophthalmus,Common_Rudd,omnivore,wild,Austria,feces
X1_Eurasian_Beaver,Mammalia,Rodentia,Castoridae,Castor,Castor_fiber,Eurasian_Beaver,herbivore,wild,Austria,feces
X342_European_Green_Toad,Amphibia,Anura,Bufonidae,Bufo,Bufo_viridis,European_Green_Toad,carnivore,wild,Austria,feces
X403_Chacma_Baboon,Mammalia,Primates,Cercopithecidae,Papio,Papio_ursinus,Chacma_Baboon,omnivore,wild,South Africa,feces
XF157a_European_Toad,Amphibia,Anura,Bufonidae,Bufo,Bufo_bufo,European_Toad,carnivore,wild,Austria,feces
XF42_Fallow_Deer,Mammalia,Artiodactyla,Cervidae,Dama,Dama_dama,Fallow_Deer,herbivore,wild,Austria,feces
X361_fail_Common_Opossum,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis_marsupialis,Common_Opossum,omnivore,wild,Costa Rica,gut
X402_fail_Blue_Wildebeest,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes_taurinus,Blue_Wildebeest,herbivore,wild,South Africa,feces
X116_Common_Kestrel,Aves,Falconiformes,Falconidae,Falco,Falco_tinnunculus,Common_Kestrel,carnivore,wild,Hungary,gut
X332_Harbor_Porpoise,Mammalia,Cetacea,Phocoenidae,Phocoena,Phocoena_phocoena,Harbor_Porpoise,carnivore,wild,England,feces
X326_Silver_Bream,Actinopterygii,Cypriniformes,Cyprinidae,Blicca,Blicca_bjoerkna,Silver_Bream,omnivore,wild,Austria,feces
X213_Goose,Aves,Anseriformes,Anatidae,Anser,Anser_anser,Goose,herbivore,wild,Austria,feces
X250_Common_Nase,Actinopterygii,Cypriniformes,Cyprinidae,Chondrostoma,Chondrostoma_nasus,Common_Nase,omnivore,wild,Austria,feces
X259_Mute_Swan,Aves,Anseriformes,Anatidae,Cygnus,Cygnus_olor,Mute_Swan,omnivore,wild,Hungary,feces
X33_Wild_Turkey,Aves,Galliformes,Phasianidae,Meleagris,Meleagris_gallopavo,Wild_Turkey,omnivore,wild,Austria,feces
X404_Brown_Greater_Galago,Mammalia,Primates,Galagidae,Otolemur,Otolemur_crassicaudatus,Brown_Greater_Galago,omnivore,wild,South Africa,feces
X432_Vervet_Monkey,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus_pygerythrus,Vervet_Monkey,omnivore,captive,Austria,feces
X266_Western_Marsh_Harrier,Aves,Falconiformes,Accipitridae,Circus,Circus_aeruginosus,Western_Marsh_Harrier,carnivore,wild,Austria,gut
X15_Tawny_Owl,Aves,Strigiformes,Strigidae,Strix,Strix_aluco,Tawny_Owl,carnivore,wild,Austria,gut
X133_Domestic_Goat,Mammalia,Artiodactyla,Bovidae,Capra,Capra_hircus,Domestic_Goat,herbivore,captive,Austria,feces
X410_Impala,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros_melampus,Impala,herbivore,wild,South Africa,feces
X383_Arctic_Wolf,Mammalia,Carnivora,Canidae,Canis,Canis_lupus,Arctic_Wolf,carnivore,captive,Austria,feces
X83_Common_Rudd,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,Scardinius_erythrophthalmus,Common_Rudd,omnivore,wild,Austria,feces
XF300_Asp,Actinopterygii,Cypriniformes,Cyprinidae,Aspius,Aspius_aspius,Asp,carnivore,wild,Austria,feces
X235_Pygmy_Slow_Loris,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus_pygmaeus,Pygmy_Slow_Loris,omnivore,wild,Viet Nam,feces
X239_Delacours_Langur,Mammalia,Primates,Cercopithecidae,Trachypithecus,Trachypithecus_delacouri,Delacours_Langur,herbivore,wild,Viet Nam,feces
X272_Black_Grouse,Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus_tetrix,Black_Grouse,omnivore,wild,Austria,feces
X131_Rock_Ptarmigan,Aves,Galliformes,Phasianidae,Lagopus,Lagopus_muta,Rock_Ptarmigan,omnivore,wild,Austria,feces
X286_Short_beaked_Echidna,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,Tachyglossus_aculeatus,Short_beaked_Echidna,carnivore,wild,Australia,feces
X73_One_humped_Camel,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus_dromedarius,One_humped_Camel,herbivore,captive,Austria,feces
X359_Brown_throated_Sloth,Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus_variegatus,Brown_throated_Sloth,herbivore,wild,,feces
X344_Indian_Rhinoceros,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Rhinoceros_unicornis,Indian_Rhinoceros,herbivore,wild,Nepal,feces
X121_Raccoon_Dog,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes_procyonoides,Raccoon_Dog,omnivore,wild,Austria,feces
X16_Fat_Dormouse,Mammalia,Rodentia,Gliridae,Glis,Glis_glis,Fat_Dormouse,omnivore,captive,Austria,feces
X285_Short_beaked_Echidna,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,Tachyglossus_aculeatus,Short_beaked_Echidna,carnivore,wild,Australia,feces
X283_Koala,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctos_cinereus,Koala,herbivore,wild,Australia,feces
X257_Eurasian_Woodcock,Aves,Charadriiformes,Scolopacidae,Scolopax,Scolopax_rusticola,Eurasian_Woodcock,omnivore,wild,Hungary,feces
X244_Common_House_Martin,Aves,Passeriformes,Hirundinidae,Delichon,Delichon_urbicum,Common_House_Martin,carnivore,wild,Austria,feces
X369_Koala,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctos_cinereus,Koala,herbivore,captive,Austria,feces
X384_Eurasian_Lynx,Mammalia,Carnivora,Felidae,Lynx,Lynx_lynx,Eurasian_Lynx,carnivore,captive,Austria,feces
