binomial_species,sources
Aepyceros melampus,vincze2022_cancer+youngblut2020_microbiome
Ammotragus lervia,milani2020_microbiome+vincze2022_cancer
Bison bonasus,milani2020_microbiome+vincze2022_cancer
Callimico goeldii,milani2020_microbiome+vincze2022_cancer
Callithrix pygmaea,boddy2020_cancer+milani2020_microbiome
Capra ibex,vincze2022_cancer+youngblut2020_microbiome
Cervus elaphus,vincze2022_cancer+youngblut2020_microbiome
Choloepus didactylus,vincze2022_cancer+youngblut2020_microbiome
Connochaetes taurinus,vincze2022_cancer+youngblut2020_microbiome
Cricetus cricetus,vincze2022_cancer+youngblut2020_microbiome
Dama dama,vincze2022_cancer+youngblut2020_microbiome
Equus asinus,boddy2020_cancer+guo2022_metabolome
Equus hemionus,vincze2022_cancer+youngblut2020_microbiome
Equus quagga,vincze2022_cancer+youngblut2020_microbiome
Eulemur macaco,milani2020_microbiome+vincze2022_cancer
Felis margarita,guo2022_metabolome+vincze2022_cancer
Felis silvestris,milani2020_microbiome+vincze2022_cancer
Gazella subgutturosa,vincze2022_cancer+youngblut2020_microbiome
Giraffa camelopardalis,milani2020_microbiome+vincze2022_cancer+youngblut2020_microbiome
Gorilla gorilla,guo2022_metabolome+vincze2022_cancer+youngblut2020_microbiome
Hippopotamus amphibius,vincze2022_cancer+youngblut2020_microbiome
Hylobates lar,guo2022_metabolome+vincze2022_cancer
Kobus megaceros,milani2020_microbiome+vincze2022_cancer
Lama glama,boddy2020_cancer+milani2020_microbiome
Lemur catta,milani2020_microbiome+vincze2022_cancer
Loxodonta africana,boddy2020_cancer+guo2022_metabolome+youngblut2020_microbiome
Lutra lutra,vincze2022_cancer+youngblut2020_microbiome
Lycaon pictus,boddy2020_cancer+guo2022_metabolome+milani2020_microbiome+vincze2022_cancer
Lynx lynx,milani2020_microbiome+vincze2022_cancer+youngblut2020_microbiome
Macaca fuscata,milani2020_microbiome+vincze2022_cancer
Macropus eugenii,boddy2020_cancer+youngblut2020_microbiome
Macropus giganteus,vincze2022_cancer+youngblut2020_microbiome
Nasua nasua,guo2022_metabolome+milani2020_microbiome+vincze2022_cancer
Nycticebus pygmaeus,vincze2022_cancer+youngblut2020_microbiome
Odocoileus virginianus,vincze2022_cancer+youngblut2020_microbiome
Pan troglodytes,guo2022_metabolome+milani2020_microbiome+vincze2022_cancer
Panthera leo,boddy2020_cancer+guo2022_metabolome+milani2020_microbiome+vincze2022_cancer+youngblut2020_microbiome
Panthera onca,milani2020_microbiome+vincze2022_cancer
Panthera pardus,guo2022_metabolome+milani2020_microbiome+vincze2022_cancer+youngblut2020_microbiome
Panthera tigris,boddy2020_cancer+guo2022_metabolome+milani2020_microbiome+vincze2022_cancer
Phascolarctos cinereus,boddy2020_cancer+youngblut2020_microbiome
Phoca vitulina,boddy2020_cancer+vincze2022_cancer+youngblut2020_microbiome
Pongo pygmaeus,milani2020_microbiome+vincze2022_cancer
Procyon lotor,boddy2020_cancer+vincze2022_cancer+youngblut2020_microbiome
Pygathrix nemaeus,vincze2022_cancer+youngblut2020_microbiome
Saguinus imperator,milani2020_microbiome+vincze2022_cancer
Saguinus oedipus,milani2020_microbiome+vincze2022_cancer
Saimiri boliviensis,milani2020_microbiome+vincze2022_cancer
Sciurus vulgaris,vincze2022_cancer+youngblut2020_microbiome
Suricata suricatta,milani2020_microbiome+vincze2022_cancer
Syncerus caffer,vincze2022_cancer+youngblut2020_microbiome
Tupaia belangeri,vincze2022_cancer+youngblut2020_microbiome
Ursus arctos,guo2022_metabolome+milani2020_microbiome+vincze2022_cancer+youngblut2020_microbiome
Varecia rubra,milani2020_microbiome+vincze2022_cancer
Varecia variegata,guo2022_metabolome+milani2020_microbiome+vincze2022_cancer
